STABBR,UNITID,HIGHDEG,CONTROL,REGION,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL
AK,102650.5,3.5,1.5,8.0,20545.0,8158.5,18864.5,7899.5,13054.5,7432.5
AL,101625.0,3.0,1.0,5.0,20173.9,9163.0,13530.5,7800.5,6210.0,6613.5
AR,107460.0,2.0,1.0,5.0,19101.0,7909.0,11032.0,4061.0,6785.0,5268.0
AZ,312312.5,3.0,2.0,6.0,20497.119047619046,9813.5,13028.0,9286.0,5207.5,6383.0
CA,122205.0,3.0,2.0,8.0,23096.14285714285,10612.333333333334,14040.0,10466.0,6755.0,8456.0
CO,127741.0,3.0,2.0,7.0,23911.0,9335.0,15350.0,10806.0,6182.0,6340.0
CT,129874.5,4.0,1.0,1.0,23925.5,14643.0,24606.0,11034.0,10062.5,9008.5
DC,131876.0,4.0,2.0,2.0,30268.0,17038.0,17038.0,15127.0,15932.0,8820.0
DE,131043.5,4.0,2.0,2.0,27291.0,13897.5,21037.0,12495.0,7566.5,7431.5
FL,262129.0,3.0,2.0,5.0,25098.0,13716.0,14814.0,10973.0,5131.0,5715.0
GA,140678.0,3.0,2.0,5.0,22171.0,9802.0,13924.333333333334,8353.0,5449.0,5445.0
HI,141839.0,3.0,1.0,8.0,18862.0,7584.0,9552.0,5465.0,12904.0,8569.0
IA,153697.5,3.0,2.0,4.0,29674.25,19001.0,21787.0,10572.0,8231.0,6593.0
ID,142385.5,3.0,1.5,7.0,20463.75,8062.5,13867.5,9001.5,7575.0,6135.0
IL,146901.0,4.0,2.0,3.0,24377.75,13295.0,16490.0,11694.5,8709.0,7597.5
IN,151781.5,4.0,2.0,3.0,28443.25,14992.5,20233.333333333336,12427.5,8031.5,6697.5
KS,155367.0,3.0,1.0,4.0,19634.5,8509.5,14627.5,6396.5,6176.5,5639.5
KY,157252.5,3.0,2.0,5.0,23937.3,10107.25,14888.0,8347.0,5539.5,5825.5
LA,160241.5,3.0,1.0,5.0,20636.0,8770.0,14172.5,8424.5,5051.0,5781.5
MA,166656.0,4.0,2.0,1.0,47630.0,34350.0,35075.0,17149.0,10433.0,8598.0
MD,163316.5,4.0,1.0,2.0,23925.0,10055.0,16920.5,8468.5,9632.0,7641.5
ME,161276.0,3.0,1.5,1.0,23288.0,12615.0,20782.0,11705.0,8820.0,6918.0
MI,170967.0,3.0,2.0,3.0,22852.0,12860.0,15900.0,11168.0,8220.0,7931.0
MN,174367.0,3.0,1.0,4.0,20539.0,9310.0,12133.0,6307.0,7848.5,7824.0
MO,178448.0,4.0,2.0,4.0,24582.0,12600.0,14898.0,9882.0,6882.0,6372.0
MS,176026.0,3.0,1.0,5.0,18147.5,7018.0,7339.0,3320.0,5866.0,5690.0
MT,180302.0,2.5,1.0,7.0,15005.0,4663.0,10946.5,4506.0,8207.5,5784.5
NC,199111.0,3.0,1.0,5.0,18289.0,6534.0,9695.0,6171.0,7112.0,5586.0
ND,200266.5,3.5,1.0,4.0,16803.5,6213.5,7254.5,5991.5,8718.0,6248.5
NE,181423.5,4.0,2.0,4.0,24104.0,12303.0,15642.0,8185.0,8189.5,6502.5
NH,183105.0,3.0,1.0,1.0,33111.0,15685.0,23330.0,10467.0,7700.0,7230.0
NJ,186389.5,3.0,2.0,2.0,24997.25,12722.5,13257.5,11072.5,6920.0,7163.0
NM,188039.5,2.0,1.0,6.0,14434.5,4429.0,6537.0,3547.5,7038.5,6199.5
NV,445230.0,3.0,2.0,8.0,22731.0,14202.0,16213.5,8336.0,5901.0,8043.0
NY,194617.5,4.0,2.0,2.0,25543.0,13479.5,17623.0,11958.5,10500.5,7258.0
OH,204194.0,3.0,2.0,3.0,25528.5,13392.0,16549.0,10828.0,7012.0,6686.0
OK,207403.0,4.0,1.0,6.0,20680.0,7753.0,15315.0,6323.0,6871.0,5572.0
OR,209776.5,4.0,2.0,8.0,23635.0,10561.5,19390.0,11906.0,8316.5,7284.5
PA,214693.5,4.0,2.0,2.0,32709.264705882353,18765.0,23715.0,13172.5,8460.5,7216.5
RI,217479.5,4.0,2.0,1.0,46017.0,32122.0,32545.0,18598.5,11100.5,9834.0
SC,218464.0,3.0,1.5,5.0,25955.5,12659.0,18238.0,10078.0,6882.0,5808.0
SD,219286.0,4.0,1.0,4.0,21675.25,9223.0,12597.5,7826.5,6736.5,6430.5
TN,221351.0,4.0,2.0,5.0,26450.0,14818.0,18400.0,10789.0,6767.0,5993.0
TX,228468.0,3.0,2.0,6.0,20574.8,9136.0,14220.0,8239.0,5791.0,6462.0
UT,305622.5,3.0,2.0,7.0,22116.5,12281.5,14585.0,10340.0,5699.5,6996.5
VA,233391.0,3.0,2.0,5.0,26880.5,13845.5,17014.0,11751.0,8008.5,6832.0
VT,230995.0,4.0,2.0,1.0,40231.0,27156.0,33804.0,17571.0,14416.0,6843.5
WA,236586.0,3.0,1.0,8.0,17143.75,6994.833333333334,9987.25,6231.5,7202.0,7399.5
WI,239743.0,4.0,2.0,3.0,23049.5,10935.0,16416.0,9728.0,9408.0,7461.0
WV,237932.0,3.0,1.0,5.0,19118.0,8237.0,13533.0,6548.0,5180.0,5667.0
WY,240638.5,2.0,1.0,7.0,12424.0,4185.0,10125.0,3055.5,8469.5,6745.0
